detection,timestamp,framerate,angle,distance,x-coord,y-coord,BBleft,BBtop,BBright,BBbottom,iteration
1,1650628701146133899,0.6238715459186899,-0.38904045842988699,2.9609203219265789,2.7396609336085183,-1.1230793033695783,510.3125,45.9375,636.5625,470.15625,0
1,1650628702776532888,11.93829198592784,-0.39163416720886218,2.9058798952262848,2.6858656557274707,-1.1091725045564229,511.5625,48.8671875,639.0625,468.28125,1
1,1650628702888298034,13.862901413292084,-0.39163416720886218,2.9328696799290386,2.7108119502758763,-1.1194744881812007,511.5625,48.8671875,639.0625,468.28125,2
1,1650628702976176977,14.2263708085447,-0.39163416720886218,2.9058798952262848,2.6858656557274707,-1.1091725045564229,511.5625,48.8671875,639.0625,468.28125,3
1,1650628703064973115,17.102854346762356,-0.39120226698300503,2.892863293677105,2.6743112427903277,-1.1030491433248124,510.625,48.515625,639.375,468.984375,4
1,1650628703138679027,17.263991504459746,-0.39120226698300503,2.892863293677105,2.6743112427903277,-1.1030491433248124,510.625,48.515625,639.375,468.984375,5
1,1650628703215783119,17.06548619276824,-0.39120226698300503,2.892863293677105,2.6743112427903277,-1.1030491433248124,510.625,48.515625,639.375,468.984375,6
1,1650628703291822910,15.644025377738158,-0.39120226698300503,2.892863293677105,2.6743112427903277,-1.1030491433248124,510.625,48.515625,639.375,468.984375,7
1,1650628703372797966,17.043018923125057,-0.39120226698300503,2.8927984921248506,2.6742513369108751,-1.103024434484662,510.9375,49.3359375,639.0625,469.21875,8
1,1650628703451476097,17.032914106567794,-0.39120226698300503,2.8927984921248506,2.6742513369108751,-1.103024434484662,510.9375,49.3359375,639.0625,469.21875,9
1,1650628703526288032,17.43130841704105,-0.39120226698300503,2.8927984921248506,2.6742513369108751,-1.103024434484662,510.9375,49.3359375,639.0625,469.21875,10
1,1650628703598771095,16.687835950648328,-0.39120226698300503,2.8927984921248506,2.6742513369108751,-1.103024434484662,510.9375,49.3359375,639.0625,469.21875,11
1,1650628703678292036,16.686441756842775,-0.39120226698300503,2.8929193897544216,2.6743631008821263,-1.1030705327662571,510.625,48.28125,639.375,468.28125,12
1,1650628703755477905,16.316630163738004,-0.39120226698300503,2.8929193897544216,2.6743631008821263,-1.1030705327662571,510.625,48.28125,639.375,468.28125,13
1,1650628703831963062,16.825403956932654,-0.39120226698300503,2.8929193897544216,2.6743631008821263,-1.1030705327662571,510.625,48.28125,639.375,468.28125,14
1,1650628703906580924,17.064236457210278,-0.39120226698300503,2.8929193897544216,2.6743631008821263,-1.1030705327662571,510.625,48.28125,639.375,468.28125,15
1,1650628703988542079,16.261215121756425,-0.39033800480842618,2.8928907296400892,2.6752889397793975,-1.1007478650134161,510.0,48.28125,638.75,468.75,16
1,1650628704065465927,16.912993511913644,-0.39033800480842618,2.9198805687956653,2.7002486167694517,-1.1110175262637225,510.0,48.28125,638.75,468.75,17
1,1650628704139803886,17.23186143202248,-0.39033800480842618,2.9198805687956653,2.7002486167694517,-1.1110175262637225,510.0,48.28125,638.75,468.75,18
1,1650628704216860055,16.866812508042724,-0.39033800480842618,2.9198805687956653,2.7002486167694517,-1.1110175262637225,510.0,48.28125,638.75,468.75,19
1,1650628704293096065,15.797041188345537,-0.39033800480842618,2.9198805687956653,2.7002486167694517,-1.1110175262637225,510.0,48.28125,638.75,468.75,20
1,1650628704373706102,17.059655659091927,-0.39033800480842618,2.9199434053027451,2.7003067267459819,-1.111041435618578,510.3125,48.6328125,638.4375,467.34375,21
1,1650628704448007106,17.35148060200392,-0.39033800480842618,2.9199434053027451,2.7003067267459819,-1.111041435618578,510.3125,48.6328125,638.4375,467.34375,22
1,1650628704524770021,17.348179276343,-0.39033800480842618,2.9199434053027451,2.7003067267459819,-1.111041435618578,510.3125,48.6328125,638.4375,467.34375,23
1,1650628704597655057,16.575787035939268,-0.39033800480842618,2.9199434053027451,2.7003067267459819,-1.111041435618578,510.3125,48.6328125,638.4375,467.34375,24
1,1650628704675982952,15.196643502583315,-0.38904045842988699,2.9468689653159941,2.7266595865323588,-1.1177496132469662,509.375,47.8125,637.5,469.21875,25
1,1650628704758302927,15.889922715562964,-0.38904045842988699,2.9468689653159941,2.7266595865323588,-1.1177496132469662,509.375,47.8125,637.5,469.21875,26
1,1650628704836416959,17.336992824311366,-0.38904045842988699,2.9468689653159941,2.7266595865323588,-1.1177496132469662,509.375,47.8125,637.5,469.21875,27
1,1650628704909216880,17.06715279162411,-0.38904045842988699,2.9468689653159941,2.7266595865323588,-1.1177496132469662,509.375,47.8125,637.5,469.21875,28
1,1650628704994101047,17.501205885052865,-0.38860763579206486,2.9468685642992436,2.7271427473373584,-1.1165691966467324,510.0,46.875,636.25,470.15625,29
1,1650628705069216012,17.31630727818444,-0.38860763579206486,2.9468685642992436,2.7271427473373584,-1.1165691966467324,510.0,46.875,636.25,470.15625,30
1,1650628705142117023,16.06397548831865,-0.38860763579206486,2.9468685642992436,2.7271427473373584,-1.1165691966467324,510.0,46.875,636.25,470.15625,31
1,1650628705220853090,17.244401320577076,-0.38860763579206486,2.9468685642992436,2.7271427473373584,-1.1165691966467324,510.0,46.875,636.25,470.15625,32
1,1650628705295099020,14.484144223165353,-0.38860763579206486,2.9468685642992436,2.7271427473373584,-1.1165691966467324,510.0,46.875,636.25,470.15625,33
1,1650628705384430885,16.635877584045947,-0.38774153023160446,2.9329085660826242,2.7151851085825953,-1.1089285293165447,510.0,45.8203125,635.0,470.625,34
1,1650628705465709924,17.09748610980894,-0.38774153023160446,2.9329085660826242,2.7151851085825953,-1.1089285293165447,510.0,45.8203125,635.0,470.625,35
1,1650628705539082050,17.484353180012423,-0.38774153023160446,2.9329085660826242,2.7151851085825953,-1.1089285293165447,510.0,45.8203125,635.0,470.625,36
1,1650628705611753940,14.932247257813584,-0.38774153023160446,2.9329085660826242,2.7151851085825953,-1.1089285293165447,510.0,45.8203125,635.0,470.625,37
1,1650628705698052883,17.328612448098493,-0.38904045842988699,2.8798663761014631,2.6646638702807883,-1.0923354808024799,509.6875,45.0,637.1875,472.5,38
1,1650628705771090984,17.428918105812542,-0.38904045842988699,2.8798663761014631,2.6646638702807883,-1.0923354808024799,509.6875,45.0,637.1875,472.5,39
1,1650628705843683958,15.849093107617897,-0.38904045842988699,2.8798663761014631,2.6646638702807883,-1.0923354808024799,509.6875,45.0,637.1875,472.5,40
1,1650628705923793077,15.893716108936442,-0.38904045842988699,2.8798663761014631,2.6646638702807883,-1.0923354808024799,509.6875,45.0,637.1875,472.5,41
1,1650628706005167961,17.487123255687905,-0.38904045842988699,2.8668143826876409,2.6525872074281054,-1.0873848498914656,508.125,44.296875,638.75,474.140625,42
1,1650628706077337026,17.253552065422177,-0.38904045842988699,2.8668143826876409,2.6525872074281054,-1.0873848498914656,508.125,44.296875,638.75,474.140625,43
1,1650628706150661945,17.284908327392163,-0.38904045842988699,2.8668143826876409,2.6525872074281054,-1.0873848498914656,508.125,44.296875,638.75,474.140625,44
1,1650628706225595951,15.836526335661695,-0.38904045842988699,2.8668143826876409,2.6525872074281054,-1.0873848498914656,508.125,44.296875,638.75,474.140625,45
1,1650628706305032968,17.27266512648819,-0.38817465969903731,2.8279412140220961,2.6175466066233763,-1.070374360735165,507.1875,44.53125,638.4375,472.03125,46
1,1650628706378207921,16.154554838312098,-0.38817465969903731,2.8279412140220961,2.6175466066233763,-1.070374360735165,507.1875,44.53125,638.4375,472.03125,47
1,1650628706460278034,15.724492665059591,-0.38817465969903731,2.8279412140220961,2.6175466066233763,-1.070374360735165,507.1875,44.53125,638.4375,472.03125,48
1,1650628706538885116,17.37649661526734,-0.38817465969903731,2.8279412140220961,2.6175466066233763,-1.070374360735165,507.1875,44.53125,638.4375,472.03125,49
1,1650628706612015962,14.77148471892543,-0.38817465969903731,2.8279412140220961,2.6175466066233763,-1.070374360735165,507.1875,44.53125,638.4375,472.03125,50
1,1650628706696563959,17.503908255119544,-0.3894731275319907,2.8928899412693951,2.6762392215722377,-1.0984333576581098,508.75,44.53125,638.75,472.5,51
1,1650628706769162893,17.18920691124881,-0.3894731275319907,2.8928899412693951,2.6762392215722377,-1.0984333576581098,508.75,44.53125,638.75,472.5,52
1,1650628706842401981,17.073891946461718,-0.3894731275319907,2.8928899412693951,2.6762392215722377,-1.0984333576581098,508.75,44.53125,638.75,472.5,53
1,1650628706920588016,16.096587878159887,-0.3894731275319907,2.8928899412693951,2.6762392215722377,-1.0984333576581098,508.75,44.53125,638.75,472.5,54
1,1650628707001341104,17.21884493489006,-0.38990564301815012,2.8800759402768921,2.6639116365873794,-1.0947201533799285,510.0,44.1796875,638.125,469.6875,55
1,1650628707074434995,17.31838076205262,-0.38990564301815012,2.8800759402768921,2.6639116365873794,-1.0947201533799285,510.0,44.1796875,638.125,469.6875,56
1,1650628707147754907,17.279211657060934,-0.38990564301815012,2.8800759402768921,2.6639116365873794,-1.0947201533799285,510.0,44.1796875,638.125,469.6875,57
1,1650628707222251892,15.172400820422293,-0.38990564301815012,2.8800759402768921,2.6639116365873794,-1.0947201533799285,510.0,44.1796875,638.125,469.6875,58
1,1650628707305530071,17.419218725341175,-0.38904045842988699,2.8930321703221473,2.6768458299975793,-1.0973292764450631,509.0625,44.4140625,637.8125,470.15625,59
